"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12"
"YearsInCurrentRole",0.87,0.15,0.05,0,0,0.02,0.02,-0.02,0.02,0,0,0
"YearsWithCurrManager",0.87,0.13,0.01,-0.03,0,0.01,0.01,-0.03,0.01,-0.01,0.05,-0.03
"YearsAtCompany",0.86,0.34,0.01,-0.06,0,-0.02,0.01,0,0,0,-0.01,0
"YearsSinceLastPromotion",0.73,0.16,0,0,0,-0.01,0.03,0.02,-0.01,-0.01,-0.02,0.05
"TotalWorkingYears",0.41,0.79,0.02,-0.04,0.02,0,0.13,0.04,0.04,-0.01,0,0
"JobLevel",0.28,0.91,0.02,0.02,0,-0.01,0.04,-0.01,0.01,0.01,-0.02,0.02
"MonthlyIncome",0.25,0.92,0.02,0,-0.01,-0.01,0.03,0,0.01,0,-0.02,0.02
"Education",0.06,-0.08,0.01,0.02,0.02,-0.01,0.84,-0.02,-0.02,-0.03,0,-0.03
"Department",0.05,0.04,0,0.63,0.01,-0.01,-0.09,-0.03,0,0.12,-0.12,0.01
"Employee.Source",0.05,-0.06,-0.05,-0.07,0.13,-0.06,-0.08,0.11,0.15,-0.65,-0.28,0.12
"PerformanceRating",0.03,0,-0.01,-0.03,0,0.83,-0.02,0.03,0.03,-0.01,-0.01,0.02
"EnvironmentSatisfaction",0.02,-0.05,0.01,-0.03,0.19,-0.05,-0.06,0.12,0.13,0.75,-0.25,0.09
"JobInvolvement",0.02,-0.04,0.04,0,0.04,-0.02,-0.01,0.01,0.08,-0.02,0.75,-0.02
"StockOptionLevel",0.02,-0.03,0.91,0.02,0,0,0.01,-0.01,-0.01,0.03,-0.01,-0.01
"WorkLifeBalance",0.02,0.01,0.04,0.06,0.01,0.02,0.01,-0.21,0.05,-0.01,-0.21,0.67
"Age",0.01,0.33,0.02,-0.04,-0.03,-0.01,0.66,0.05,0.07,0.05,-0.01,0.03
"EducationField",0.01,-0.02,0,0.03,0.84,0,-0.03,0,0.02,0.19,-0.03,0.02
"JobRole",0.01,-0.14,-0.03,0.8,-0.06,0,-0.01,0.05,0.02,-0.04,0.03,-0.01
"DistanceFromHome",-0.01,0.02,0.01,0.02,0.84,0.02,0.03,0,-0.06,-0.13,0.07,-0.04
"RelationshipSatisfaction",-0.01,0.04,-0.08,-0.04,-0.07,-0.04,-0.03,0.24,-0.18,-0.01,0.31,0.66
"TrainingTimesLastYear",-0.01,-0.03,0.01,0,0.01,-0.02,-0.02,-0.59,0.14,-0.05,-0.14,0.19
"OverTime",-0.02,-0.01,0.04,0.02,0.02,0,0,0.77,0.16,-0.04,-0.15,0.13
"PercentSalaryHike",-0.02,-0.02,0,0.01,0.02,0.83,0.01,-0.01,-0.03,0.01,-0.01,-0.03
"JobSatisfaction",-0.03,0.03,-0.01,0.04,-0.07,0,-0.09,0.14,-0.49,-0.1,-0.27,-0.25
"MaritalStatus",-0.03,-0.07,-0.9,0.05,0,0.01,-0.01,-0.03,0.01,-0.01,-0.05,0
"Gender",-0.05,0,0.03,-0.09,0.04,-0.03,-0.09,-0.03,-0.53,0.06,0.22,0.06
"BusinessTravel",-0.06,0.06,0,-0.03,-0.04,-0.02,-0.1,0.04,0.64,0,0.16,-0.1
"NumCompaniesWorked",-0.14,0.07,0,0.71,0.11,-0.01,0.1,0.01,0.01,-0.06,0.1,0.03
